"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Intestine","Cancer stem cell","Colorectal Cancer","CD166","Experiment","1","more details"
"Human","Intestine","Intestinal epithelial stem cell","Normal","PHLDA1","Experiment","1","more details"
"Human","Intestine","Intestinal stem cell","Normal","DCAMKL-1","Experiment","1","more details"
"Human","Intestine","Paneth cell","Normal","IL-9","Experiment","1","more details"
"Mouse","Intestine","Goblet cell","Normal","Keratin polypeptide 20","Experiment","1","more details"
"Mouse","Intestine","Intestinal epithelial stem cell","Normal","Lgr5","Experiment","1","more details"
"Mouse","Intestine","Intestinal stem cell","Normal","Lgr5","Experiment","1","more details"
"Mouse","Intestine","Intestinal stem cell","Normal","Musashi-1","Experiment","1","more details"
"Mouse","Intestine","Regulatory T (Treg) cell","Normal","CD25, Foxp3","Experiment","1","more details"
"Mouse","Small intestine","Dendritic cell","Normal","CD11c, CD74, CD83, CD86","Experiment","1","more details"
"Mouse","Small intestine","Enteroendocrine cell","Normal","Claudin-4","Experiment","1","more details"
"Mouse","Small intestine","Epithelial cell","Normal","Claudin-4","Experiment","1","more details"
"Mouse","Small intestine","IgA lamina propria lymphocyte","Normal","B220, CD138, IgA","Experiment","1","more details"
"Mouse","Small intestine","Intestinal stem cell","Normal","Bmi1, Lgr5","Experiment","1","more details"
"Mouse","Small intestine","Intestinal stem cell","Normal","Bmi1","Experiment","1","more details"
"Mouse","Small intestine","Intestinal stem cell","Normal","CD166, CD24, CD44, GRP78","Experiment","1","more details"
"Mouse","Small intestine","Quiescent small intestinal stem cell","Normal","Dclk1","Experiment","1","more details"
"Mouse","Small intestine","Small intestinal stem cell","Normal","Abcg2","Experiment","1","more details"
"Mouse","Small intestine","Small intestinal stem cell","Normal","Lgr5","Experiment","1","more details"
"Human","Intestine","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Small intestine","Intestinal stem cell","Normal","ALK3, ASCL2, BMI1, CD166, CD24, DCLK1, EPHB2, LGR5, Musashi-1, SOX9, Telomerase Inhibitors","Company","1","more details"
"Mouse","Intestine","Intestinal stem cell","Normal","Bmi1, Bmpr1a, Dclk1, Eph, Lgr5, Musashi-1, OLFM4","Review","1","more details"
"Mouse","Intestine","Intestinal stem cell","Normal","Dclk1, Hesx1, Lgr5, Musashi-1, Side population","Review","1","more details"
"Human","Large intestine","DCLK1+ progenitor cell","Normal","ADAMTS1, ADAMTS2, ADAMTS4, ASPN, AZIN2, BASP1, BOC, C1QTNF3, C1QTNF6, C1R, C1S, C3, C7, CCDC80, CCL2, CERCAM, CLDN11, CLEC11A, COL14A1, COL16A1, COL1A1, COL1A2, COL3A1, COL5A1, COL5A2, COL6A6, COL8A1, COLEC12, CPXM1, CPZ, CSF1, CTHRC1, CYBRD1, DCN, DPT, FAM126A, FBLN1, FNDC1, FZD1, GBP1, GBP1P1, GFRA2, GPC6, GSTM5, HAPLN3, HTRA1, ICAM1, IFI6, IFIT2, IFIT3, ISLR, LAMA2, LINC01279, LOX, LPAR1, LRRC17, LUM, MAPK10, MATN2, MGP, MMP2, MRC2, MX1, MYC, NGFR, NNMT, OGN, OLFML1, PAMR1, PCOLCE, PDGFRL, PDPN, PHC1, PIEZO2, PLAGL1, PRICKLE1, QSER1, RCN3, RERG, SCN7A, SCUBE2, SERPINF1, SERPING1, SFRP1, SFRP2, SPARC, SPON1, SPON2, SPTLC3, SRPX, SVEP1, THBS2, TMEM59L, TNFAIP6, TPST1, TTYH2, VASN, VCAM1, VCAN, ZNF469","Single-cell sequencing","1","more details"
"Human","Large intestine","Enterocyte","Normal","ANPEP, AOC1, AQP8, C21orf62, CA7, CDHR5, CEACAM7, CLDN23, CNKSR1, CYP2W1, CYP3A5, DGAT1, DPEP1, EFNA2, EPS8L3, GPANK1, GSTA1, GUCA2A, GUCA2B, HTATIP2, IGF2BP2, KCNJ5, LAD1, LOC646214, LPAR5, LRRC57, LYPD8, MALL, MAMDC4, MCF2L2, MLXIPL, MOGAT2, MSLN, MUC20, MYO1A, NBEAL1, NOXA1, NR1H4, NR1I2, PARP12, PLS1, PRAP1, PRSS3, RARRES1, RNPC3, SI, SLC13A1, SLC15A1, SLC35D2, SLC41A2, SLC6A19, SMIM24, SPIB, STEAP1, TMEM45B, TONSL, ZNF264","Single-cell sequencing","1","more details"
"Human","Large intestine","Enteroendocrine cell","Normal","ADAMTSL3, ANKRD20A9P, FRAS1, MFSD11","Single-cell sequencing","1","more details"
